Issue ID,Issue Type,Summary,Epic Name,Epic Link,Component,Labels,Priority,Severity,Assignee,Automation,Description
MFPR-H1,Task,SMS and WhatsApp channel for OTP/reminders/confirmations,,MFPR-1,Notifications,notifications eng product recommended,P2 Medium,,Eng,,Add SMS/WhatsApp; email-only underperforms for India reach.
MFPR-H2,Task,Communication consent and opt-out,,MFPR-1,Notifications,notifications legal recommended,P2 Medium,,Legal,,Capture consent and provide opt-out for communications.
MFPR-H3,Task,Reminder dedup and delivery monitoring,,MFPR-1,Notifications,notifications eng recommended,P2 Medium,,Eng,,Ensure reminders aren't duplicated and monitor delivery.
MFPR-I1,Task,WCAG 2.1 AA accessibility audit,,MFPR-1,Accessibility,accessibility ux recommended,P2 Medium,,UX,,Audit keyboard nav screen-reader support and contrast.
MFPR-I2,Task,Multilingual / localization plan,,MFPR-1,Accessibility,accessibility ux product future,P3 Low,,UX,,Plan localization for Indian languages.
MFPR-I3,Task,Low-bandwidth elderly and low-literacy UX,,MFPR-1,Accessibility,accessibility ux future,P3 Low,,UX,,Design for low-bandwidth elderly and low-literacy users.
MFPR-J1,Task,Uptime monitoring alerting and on-call,,MFPR-1,Operations,ops launch-blocker launch-gate,P1 High,,Ops,,Add uptime monitoring alerting and an on-call path.
MFPR-J2,Task,Observability verified (Sentry logs metrics no PII),,MFPR-1,Operations,ops recommended,P1 High,,Ops,,Verify Sentry captures errors and logs/metrics exist without PII.
MFPR-J3,Task,Staging environment and rollback runbook,,MFPR-1,Operations,ops eng recommended,P1 High,,Ops,,Maintain a staging env and a documented rollback procedure.
MFPR-J4,Task,Support / helpdesk and SLA,,MFPR-1,Operations,ops business recommended,P2 Medium,,Ops,,Provide user support and define an SLA.
MFPR-J5,Task,Analytics and reporting (clinical + business),,MFPR-1,Operations,ops future,P3 Low,,Ops,,Build clinical and business reporting.
MFPR-J6,Task,Incident-response runbook (including breach),,MFPR-1,Operations,ops security recommended,P1 High,,Ops,,Document incident response including data-breach handling.
MFPR-J7,Task,Cost and scale monitoring,,MFPR-1,Operations,ops future,P3 Low,,Ops,,Monitor infra cost and scaling headroom.
MFPR-K1,Task,ABDM / ABHA health-ID integration assessment,,MFPR-1,Interoperability,interoperability product future,P3 Low,,Product,,Assess integration with India's national digital health ID (ABHA/ABDM).
MFPR-K2,Task,FHIR / HL7 / EHR export standard,,MFPR-1,Interoperability,interoperability eng future,P3 Low,,Eng,,Support standards-based record export.
MFPR-K3,Task,e-pharmacy / diagnostics-lab integration,,MFPR-1,Interoperability,interoperability product future,P3 Low,,Product,,Integrate pharmacy fulfillment and lab diagnostics.
MFPR-K4,Task,Insurance / claims integration,,MFPR-1,Interoperability,interoperability product future,P3 Low,,Product,,Integrate insurance/claims.
